@RELATION dn2b_-f2

@ATTRIBUTE f1 REAL
@ATTRIBUTE f3 REAL
@ATTRIBUTE f4 REAL
@ATTRIBUTE f5 REAL
@ATTRIBUTE y {0,1}

@DATA
0.554713285,5.226381718,1,2,1
0.069367483,5.323451655,1,6,1
-0.267042932,5.438319086,1,4,1
0.428294312,4.096338823,0,3,1
0.622959625,3.709571988,0,1,1
-0.814279452,5.599684617,0,6,0
-0.237767394,4.666595327,0,2,0
-0.267287486,5.218366491,0,1,0
0.303954433,4.279047398,0,4,0
0.968580334,4.190511312,1,6,1
-0.201929752,4.339290417,0,2,0
0.531913369,4.848510554,0,3,1
0.898043388,4.936691715,0,2,1
-0.904729708,5.541663648,1,6,1
-0.803170441,4.398610074,0,3,0
0.453188899,5.188129693,1,4,1
-0.829236262,4.658408825,1,5,1
-0.960294169,6.275770078,1,0,0
0.56821065,5.681324322,0,6,1
-0.936641246,6.149620197,1,2,0
-0.033037141,4.26418422,0,6,0
0.764951703,4.626591211,0,3,1
-0.553413616,6.482035879,0,1,0
0.847149647,5.526571319,1,6,1
0.205513609,4.644488666,1,5,1
0.881522145,4.954186294,0,4,1
0.291467792,3.901501116,0,0,1
0.844807285,4.962425016,1,3,1
0.475282871,5.358326402,1,0,1
0.379737,5.059529319,0,4,1
-0.15078716,5.23747853,0,0,0
0.558402576,5.338209094,0,6,1
0.800764729,4.922957876,0,4,1
0.632975609,4.281022514,0,0,1
0.981289465,4.86132006,0,1,1
0.931637685,4.755861935,1,6,1
-0.280676227,4.389366251,1,1,0
-0.451493066,4.574525895,0,6,0
-0.998829782,4.34347266,0,5,0
0.314785453,5.241266044,1,3,1
-0.940068597,4.834151087,0,5,0
-0.627169005,5.433778099,0,3,0
0.285447126,4.793548675,1,3,1
-0.075988251,5.008628703,0,5,0
-0.900748288,4.109245473,0,4,0
-0.283512619,5.427372125,1,5,1
-0.885930921,4.508905577,0,1,0
0.446216863,5.444061488,0,3,1
-0.438443365,4.223533436,0,5,0
-0.84249482,4.556425328,1,4,1
0.154865389,4.670503361,0,5,0
0.653098045,4.721728372,1,6,1
0.459439598,5.481922479,1,6,1
0.575733948,5.38893667,1,6,1
-0.411674178,6.776559844,1,6,1
-0.771567377,3.8342993,0,5,0
-0.956822753,5.921264796,1,3,0
-0.743718595,4.085355705,0,2,0
0.975927861,4.929869495,1,1,1
-0.335640288,5.267393516,1,2,0
-0.333936326,4.082661141,1,6,1
-0.898844836,5.054676656,0,6,0
-0.663508504,5.408095811,0,5,0
-0.454490323,4.530434259,0,6,0
-0.738124454,5.020412991,1,4,1
-0.462606628,4.043937379,1,6,1
0.512103296,5.624958568,1,0,1
0.929060932,4.328424296,0,1,1
0.892682479,5.067767634,0,2,1
-0.835116007,6.067008329,1,6,1
0.718184076,4.631807774,0,2,1
-0.275535097,5.935970056,1,4,1
-0.438606404,4.218468269,1,4,1
0.500658546,4.316685142,1,2,1
0.834260536,6.413506041,0,5,1
0.069762958,4.085258307,0,6,0
0.364313461,4.961602114,1,6,1
-0.763854836,3.859913656,0,0,0
0.128594933,4.335123247,0,0,0
-0.881609764,4.437796078,0,5,0
0.127297474,3.823032123,0,4,1
-0.815273189,4.757709749,1,3,0
-0.545039551,4.769842839,1,1,0
0.196023066,5.195456878,1,2,1
0.251767447,5.405880044,1,2,1
-0.020790883,5.374726585,1,1,1
0.262491309,5.09249334,1,0,1
0.38007478,4.439731142,1,1,1
0.66676365,5.686710644,1,5,1
-0.316083733,4.345357372,0,0,0
-0.157809043,5.071895797,1,1,0
-0.470082369,4.804010829,1,4,1
-0.933993639,6.014096423,0,3,0
-0.095990375,4.8391553,0,6,0
-0.914220948,4.37023441,1,6,1
0.878351053,6.209376631,0,5,1
-0.597239018,5.80860142,0,1,0
0.877697117,4.784699777,1,2,1
-0.199120195,5.749899723,0,4,0
0.49078551,4.956687034,0,6,1
0.565663726,5.990477656,0,1,1
-0.679531232,5.237994808,0,4,0
0.832110513,4.735585445,0,2,1
0.884384802,6.034484479,1,0,1
0.118080171,4.647991349,1,2,1
0.534892508,5.764039558,0,6,1
-0.65914173,4.954827536,1,2,0
-0.135163792,4.235314843,1,4,1
-0.022000107,5.924454506,1,4,1
-0.468124814,4.383178192,1,3,1
0.812133892,5.709831355,1,5,1
-0.053055716,4.131430195,0,6,0
0.739207967,4.220387718,1,2,1
0.713184695,5.529412834,1,6,1
0.407436546,5.626836973,1,5,1
-0.348045348,5.298843316,0,1,0
-0.894720841,5.572631882,0,4,0
-0.864195843,4.801211357,1,2,0
0.564146807,5.593064613,1,3,1
0.86656761,5.077131669,1,1,1
0.385959297,5.703076672,1,2,1
-0.651999646,4.38412453,1,4,1
-0.361670459,4.557065712,1,0,0
0.770703719,5.255665333,0,1,1
-0.895874188,6.046126228,1,2,0
-0.017998309,5.046583025,1,1,1
0.930111966,5.969712865,1,0,1
0.339217378,3.910535275,1,3,1
-0.369836951,4.768751062,0,1,0
-0.172439478,4.724324779,0,4,0
0.57943001,5.922000028,0,1,1
-0.180543868,6.040592492,1,4,1
0.482726069,5.665456453,0,0,1
-0.999668493,5.809745959,0,4,0
0.190474422,4.509832022,0,0,1
0.252367657,4.851632196,1,2,1
-0.772412696,3.873602481,1,3,0
-0.623565944,5.127898469,0,6,0
-0.203115311,5.038523029,1,1,0
0.560360924,6.462323515,1,6,1
0.104975834,4.417624692,1,4,1
0.222068468,5.079329075,1,5,1
-0.344392264,5.662980176,0,1,0
-0.856690886,4.650797695,0,3,0
-0.876569248,4.096979312,0,5,0
-0.804356378,5.154299589,1,4,1
-0.606080804,5.04502577,1,5,1
-0.960766276,5.555220749,1,2,0
-0.858416832,5.72105204,1,0,0
0.809783354,4.543621731,0,2,1
0.900148345,6.51173459,0,3,1
-0.445999494,5.085577751,0,0,0
-0.773068293,5.264287403,0,6,0
