@RELATION dn2a_lag

@ATTRIBUTE x REAL
@ATTRIBUTE y REAL
@ATTRIBUTE c-3 REAL
@ATTRIBUTE c-2 REAL
@ATTRIBUTE c-1 REAL
@ATTRIBUTE c REAL

@DATA
8.006384647,0.166686632,616.5447147,617.002766,617.374034,617.6584242
8.004971896,0.210433117,617.002766,617.374034,617.6584242,617.8558678
8.00235469,0.25500147,617.374034,617.6584242,617.8558678,617.9663214
7.998533219,0.300387085,617.6584242,617.8558678,617.9663214,617.9897675
7.993508038,0.346585026,617.8558678,617.9663214,617.9897675,617.9262141
7.98728006,0.393590032,617.9663214,617.9897675,617.9262141,617.7756948
7.979850566,0.441396513,617.9897675,617.9262141,617.7756948,617.5382692
7.971221197,0.489998555,617.9262141,617.7756948,617.5382692,617.214022
7.961393956,0.539389917,617.7756948,617.5382692,617.214022,616.803064
7.95037121,0.589564032,617.5382692,617.214022,616.803064,616.3055314
7.938155686,0.640514013,617.214022,616.803064,616.3055314,615.7215859
7.92475047,0.692232648,616.803064,616.3055314,615.7215859,615.0514147
7.910159009,0.744712406,616.3055314,615.7215859,615.0514147,614.2952306
7.89438511,0.797945436,615.7215859,615.0514147,614.2952306,613.4532715
7.877432934,0.851923568,615.0514147,614.2952306,613.4532715,612.5258009
7.859307001,0.906638319,614.2952306,613.4532715,612.5258009,611.5131073
7.840012182,0.962080889,613.4532715,612.5258009,611.5131073,610.4155043
7.819553706,1.018242167,612.5258009,611.5131073,610.4155043,609.2333305
7.797937148,1.075112733,611.5131073,610.4155043,609.2333305,607.9669495
7.775168437,1.132682858,610.4155043,609.2333305,607.9669495,606.6167496
7.751253846,1.190942508,609.2333305,607.9669495,606.6167496,605.1831437
7.726199996,1.249881347,607.9669495,606.6167496,605.1831437,603.6665691
7.700013849,1.309488738,606.6167496,605.1831437,603.6665691,602.0674876
7.672702711,1.369753747,605.1831437,603.6665691,602.0674876,600.386385
7.644274223,1.430665145,603.6665691,602.0674876,600.386385,598.6237712
7.614736364,1.492211413,602.0674876,600.386385,598.6237712,596.7801799
7.584097444,1.554380741,600.386385,598.6237712,596.7801799,594.8561684
7.552366106,1.617161036,598.6237712,596.7801799,594.8561684,592.8523174
7.519551319,1.680539922,596.7801799,594.8561684,592.8523174,590.769231
7.485662375,1.744504747,594.8561684,592.8523174,590.769231,588.6075361
7.450708889,1.809042581,592.8523174,590.769231,588.6075361,586.3678825
7.414700792,1.874140225,590.769231,588.6075361,586.3678825,584.0509426
7.377648331,1.939784213,588.6075361,586.3678825,584.0509426,581.6574109
7.33956206,2.005960816,586.3678825,584.0509426,581.6574109,579.1880043
7.300452844,2.072656043,584.0509426,581.6574109,579.1880043,576.6434613
7.26033185,2.139855653,581.6574109,579.1880043,576.6434613,574.024542
7.219210543,2.20754515,579.1880043,576.6434613,574.024542,571.3320278
7.177100683,2.275709793,576.6434613,574.024542,571.3320278,568.5667211
7.134014323,2.3443346,574.024542,571.3320278,568.5667211,565.729445
7.089963801,2.413404351,571.3320278,568.5667211,565.729445,562.8210431
7.044961738,2.482903594,568.5667211,565.729445,562.8210431,559.842379
6.999021034,2.552816649,565.729445,562.8210431,559.842379,556.7943361
6.95215486,2.623127613,562.8210431,559.842379,556.7943361,553.6778175
6.904376659,2.693820365,559.842379,556.7943361,553.6778175,550.4937453
6.855700135,2.764878572,556.7943361,553.6778175,550.4937453,547.2430604
6.806139253,2.836285691,553.6778175,550.4937453,547.2430604,543.9267223
6.755708231,2.908024981,550.4937453,547.2430604,543.9267223,540.5457086
6.704421536,2.980079501,547.2430604,543.9267223,540.5457086,537.1010148
6.652293881,3.052432118,543.9267223,540.5457086,537.1010148,533.5936537
6.599340216,3.125065515,540.5457086,537.1010148,533.5936537,530.0246552
6.545575723,3.197962194,537.1010148,533.5936537,530.0246552,526.395066
6.491015815,3.271104481,533.5936537,530.0246552,526.395066,522.7059491
6.435676126,3.344474536,530.0246552,526.395066,522.7059491,518.9583835
6.379572506,3.418054354,526.395066,522.7059491,518.9583835,515.1534635
6.322721019,3.491825772,522.7059491,518.9583835,515.1534635,511.2922988
6.26513793,3.565770479,518.9583835,515.1534635,511.2922988,507.376014
6.206839708,3.639870016,515.1534635,511.2922988,507.376014,503.4057476
6.147843013,3.714105787,511.2922988,507.376014,503.4057476,499.3826525
6.088164694,3.788459064,507.376014,503.4057476,499.3826525,495.3078949
6.027821781,3.862910989,503.4057476,499.3826525,495.3078949,491.1826541
5.966831481,3.937442589,499.3826525,495.3078949,491.1826541,487.0081222
5.905211169,4.012034775,495.3078949,491.1826541,487.0081222,482.7855034
5.842978384,4.086668349,491.1826541,487.0081222,482.7855034,478.516014
5.78015082,4.161324017,487.0081222,482.7855034,478.516014,474.2008813
5.716746326,4.235982386,482.7855034,478.516014,474.2008813,469.8413438
5.65278289,4.31062398,478.516014,474.2008813,469.8413438,465.4386504
5.588278641,4.385229239,474.2008813,469.8413438,465.4386504,460.99406
